title,company,location,description,requirements
Software Engineer,TechVantage Inc,San Francisco,"Design and develop scalable software solutions. Write clean, maintainable code and participate in code reviews. Collaborate with cross-functional teams to deliver high-quality products.","Java;Python;C++;Git;Agile;REST APIs;software architecture;problem solving"
Software Developer,CodeCraft Solutions,Remote,"Develop robust software applications using modern programming languages. Implement features, fix bugs, and optimize performance. Work in an agile environment with continuous integration.","Python;JavaScript;SQL;Docker;microservices;testing;version control;collaboration"
Full-Stack Developer,DevFoundry,Remote,"Build end-to-end web applications from frontend to backend. Handle both client-side and server-side development. Create responsive UIs and scalable APIs.","React;Node.js;Express;MongoDB;REST APIs;HTML5;CSS3;JavaScript;full-stack development"
Full-Stack Engineer,StackBuilders Inc,Austin,"Develop complete web applications across the entire technology stack. Design databases, build APIs, and create user interfaces. Ensure seamless integration between frontend and backend.","Angular;Python;Django;PostgreSQL;AWS;TypeScript;REST;GraphQL;full-stack architecture"
Frontend Developer,WebCraft Studios,New York,"Create responsive and interactive user interfaces. Implement modern UI/UX designs using React and TypeScript. Optimize frontend performance and ensure cross-browser compatibility.","React;TypeScript;CSS;HTML5;Redux;responsive design;UI/UX;frontend frameworks"
Frontend Engineer,UI Innovations,Remote,"Build pixel-perfect user interfaces. Develop reusable components and maintain design systems. Optimize performance and implement accessibility standards.","Vue.js;JavaScript;SASS;Webpack;Jest;component libraries;performance optimization;accessibility"
Backend Developer,CloudForge,Remote,"Build and maintain server-side applications and APIs. Design database schemas and optimize queries. Ensure system scalability and reliability.","Node.js;Python;PostgreSQL;Redis;AWS;REST APIs;microservices;database design"
Backend Engineer,ServerStack Technologies,Bengaluru,"Develop RESTful APIs and microservices. Work with databases, caching, and cloud infrastructure. Implement authentication and authorization systems.","Java;Spring Boot;MongoDB;Docker;CI/CD;API development;backend architecture;system design"
MERN Stack Developer,MERN Solutions Inc,Remote,"Develop full-stack applications using MongoDB, Express, React, and Node.js. Build RESTful APIs and dynamic user interfaces. Implement authentication and data management.","MongoDB;Express;React;Node.js;JavaScript;REST APIs;MERN stack;full-stack development"
MERN Developer,FullStack Labs,Seattle,"Create web applications using the MERN technology stack. Design database schemas, build APIs, and develop interactive frontends. Deploy applications to cloud platforms.","MongoDB;Express.js;React.js;Node.js;Mongoose;JWT;deployment;MERN architecture"
React Developer,ReactPro Inc,Remote,"Build modern user interfaces using React. Develop reusable components and manage application state. Optimize React applications for performance.","React;JavaScript;TypeScript;Redux;React Hooks;component design;state management;React ecosystem"
React Engineer,ReactTech Solutions,New York,"Develop complex React applications. Implement routing, state management, and API integration. Build component libraries and maintain code quality.","React;TypeScript;Next.js;Context API;React Router;testing;performance optimization;React best practices"
Node.js Developer,NodeStack Inc,Remote,"Build server-side applications using Node.js. Develop RESTful APIs and microservices. Work with databases and implement real-time features.","Node.js;Express;JavaScript;MongoDB;REST APIs;async programming;npm packages;server-side development"
Node.js Engineer,BackendNode Solutions,Bengaluru,"Develop scalable backend services with Node.js. Design APIs, implement authentication, and optimize performance. Work with cloud services and containerization.","Node.js;Express;TypeScript;PostgreSQL;Docker;microservices;API design;backend optimization"
Web Developer,WebSolutions Inc,Remote,"Build responsive websites and web applications. Ensure cross-browser compatibility and implement SEO best practices. Create engaging user experiences.","HTML5;CSS3;JavaScript;jQuery;responsive design;web standards;SEO;browser compatibility"
Web Engineer,DigitalWeb Tech,Remote,"Develop modern web applications. Implement responsive designs and optimize for performance. Integrate third-party APIs and ensure accessibility.","HTML;CSS;JavaScript;React;web performance;accessibility;responsive design;web technologies"
Machine Learning Engineer,TechNova Labs,Remote,"Develop ML models for production systems. Build recommendation systems, predictive models, and automated decision-making systems. Optimize model performance and deployment.","Python;scikit-learn;TensorFlow;PyTorch;ML algorithms;model deployment;data pipelines;MLOps"
ML Engineer,ML Solutions Inc,San Francisco,"Design and implement machine learning solutions. Train models, evaluate performance, and deploy to production. Work with large datasets and optimize inference.","Python;machine learning;deep learning;ML frameworks;model training;feature engineering;MLOps;production ML"
AI Engineer,AI Innovations,Remote,"Develop AI-powered solutions and applications. Work with large language models, generative AI, and AI agents. Build intelligent systems that solve complex problems.","Python;TensorFlow;PyTorch;LLMs;generative AI;AI frameworks;prompt engineering;AI systems"
GenAI Engineer,GenAI Labs,Remote,"Build generative AI applications using large language models. Fine-tune models, implement RAG systems, and optimize inference. Create AI-powered products and features.","Python;Transformers;LangChain;LLMs;RAG;prompt engineering;generative models;AI deployment"
Data Scientist,InsightWorks,New York,"Analyze complex datasets and build predictive models. Create data visualizations and communicate insights to stakeholders. Develop statistical models and machine learning solutions.","Python;R;SQL;statistics;machine learning;data visualization;pandas;scikit-learn;data analysis"
Data Scientist,AnalyticsPro Inc,Remote,"Extract insights from data and build predictive models. Perform exploratory data analysis and create dashboards. Work with stakeholders to solve business problems using data.","Python;SQL;Tableau;statistical analysis;machine learning;data visualization;business intelligence;data storytelling"
Data Engineer,PipelineWorks,Bengaluru,"Build and maintain data pipelines and ETL processes. Design data warehouses and ensure data quality. Optimize data processing and storage systems.","Python;SQL;Airflow;Spark;data warehousing;ETL;big data;data pipelines"
Data Engineer,DataFlow Solutions,Remote,"Develop scalable data infrastructure. Build ETL pipelines, manage data lakes, and ensure data reliability. Work with cloud data platforms and streaming data.","Python;SQL;Apache Spark;Kafka;cloud platforms;data engineering;ETL;data infrastructure"
MLOps Engineer,Deploy.ai,Remote,"Productionize machine learning models. Implement CI/CD pipelines for ML, monitor model performance, and manage model versions. Ensure reliable ML operations.","Docker;Kubernetes;MLflow;CI/CD;model deployment;ML monitoring;ML infrastructure;DevOps for ML"
MLOps Engineer,MLOps Solutions Inc,Seattle,"Build and maintain ML infrastructure. Automate model training and deployment pipelines. Implement monitoring and alerting for ML systems.","Kubernetes;MLflow;Docker;CI/CD;model serving;ML monitoring;infrastructure automation;ML operations"
NLP Engineer,LexiAI,Remote,"Develop natural language processing solutions. Build chatbots, text analysis systems, and language understanding models. Work with transformers and language models.","Python;Transformers;spaCy;NLTK;NLP;text processing;language models;sentiment analysis"
NLP Engineer,LanguageTech Inc,Remote,"Build NLP applications and models. Implement text classification, named entity recognition, and language generation. Fine-tune language models for specific tasks.","Python;Transformers;Hugging Face;NLP;text analysis;language models;tokenization;NLP pipelines"
Computer Vision Engineer,VisionNext,San Francisco,"Develop computer vision models for image and video analysis. Implement object detection, image classification, and video processing systems.","Python;PyTorch;OpenCV;TensorFlow;computer vision;image processing;deep learning;CV models"
Computer Vision Engineer,CV Solutions Inc,Remote,"Build computer vision applications. Develop models for object detection, facial recognition, and image segmentation. Optimize models for real-time inference.","Python;OpenCV;PyTorch;TensorFlow;computer vision;image processing;neural networks;CV algorithms"
DevOps Engineer,DevOpsPro Inc,Remote,"Implement DevOps practices and automate software delivery. Manage CI/CD pipelines, containerization, and infrastructure. Ensure reliable deployments and system monitoring.","Docker;Kubernetes;CI/CD;Jenkins;GitLab CI;infrastructure automation;monitoring;DevOps tools"
DevOps Engineer,CloudOps Solutions,Remote,"Automate infrastructure and deployment processes. Manage cloud resources, implement monitoring, and ensure high availability. Build scalable and reliable systems.","AWS;Docker;Kubernetes;Terraform;CI/CD;infrastructure as code;monitoring;cloud platforms"
Cloud Engineer,CloudScale Technologies,Remote,"Design and manage cloud infrastructure. Optimize cloud costs and ensure high availability. Implement cloud security and compliance.","AWS;Azure;GCP;Terraform;cloud architecture;cloud security;cost optimization;cloud platforms"
Cloud Engineer,CloudTech Solutions Inc,Remote,"Build and maintain cloud infrastructure. Deploy applications to cloud platforms and manage cloud resources. Implement auto-scaling and load balancing.","AWS;Azure;GCP;Docker;Kubernetes;cloud services;infrastructure management;cloud deployment"
Cybersecurity Engineer,SecurityFirst Inc,Remote,"Design and implement security solutions. Conduct security assessments, implement security controls, and respond to security incidents. Protect systems and data from threats.","security tools;penetration testing;vulnerability assessment;security frameworks;incident response;security architecture;threat analysis"
Cybersecurity Engineer,CyberDefense Solutions,Remote,"Secure IT infrastructure and applications. Implement security policies, conduct risk assessments, and manage security tools. Ensure compliance with security standards.","cybersecurity;security tools;risk assessment;security policies;compliance;threat detection;security monitoring;security architecture"
Security Analyst,SecurityOps Inc,Remote,"Monitor security systems and analyze security events. Investigate security incidents and respond to threats. Create security reports and recommendations.","SIEM tools;security monitoring;incident response;threat analysis;security analysis;log analysis;security tools;threat intelligence"
Security Analyst,InfoSec Solutions,Remote,"Analyze security logs and investigate potential threats. Monitor security systems and respond to security alerts. Document security incidents and provide recommendations.","security analysis;SIEM;log analysis;threat detection;incident response;security monitoring;vulnerability assessment;security reporting"
SOC Analyst,SOC Operations Inc,Remote,"Monitor security operations center systems. Analyze security alerts and investigate potential security incidents. Escalate critical threats and maintain security dashboards.","SOC operations;SIEM;security monitoring;incident response;threat analysis;security tools;alert triage;security operations"
SOC Analyst,CyberSOC Solutions,Remote,"Work in a security operations center monitoring security systems. Analyze network traffic, investigate alerts, and respond to security incidents. Maintain security documentation.","SOC;security monitoring;network security;incident response;SIEM tools;threat analysis;security operations;alert management"
Penetration Tester,PentestPro Solutions,Remote,"Conduct security assessments and penetration testing. Identify vulnerabilities in systems and applications. Provide remediation recommendations and security reports.","penetration testing;OWASP;security tools;vulnerability assessment;ethical hacking;security testing;exploitation;security reporting"
Ethical Hacker,SecurityAudit Inc,Remote,"Perform authorized security testing and vulnerability assessments. Simulate attacks to identify security weaknesses. Document findings and provide security recommendations.","ethical hacking;penetration testing;vulnerability assessment;security tools;exploitation techniques;security testing;reporting;security assessment"
Vulnerability Analyst,VulnAssess Solutions,Remote,"Identify and assess security vulnerabilities in systems and applications. Prioritize vulnerabilities based on risk and provide remediation guidance. Track vulnerability remediation.","vulnerability assessment;security scanning;risk assessment;vulnerability management;security tools;CVSS;remediation;security analysis"
Vulnerability Analyst,SecurityScan Inc,Remote,"Conduct vulnerability scans and assessments. Analyze scan results and prioritize vulnerabilities. Work with teams to remediate security issues and track progress.","vulnerability scanning;security assessment;risk analysis;vulnerability management;security tools;patch management;remediation tracking;security reporting"
Security Consultant,SecurityConsult Pro,Remote,"Provide security consulting services to clients. Assess security posture, develop security strategies, and implement security solutions. Guide organizations on security best practices.","security consulting;security assessment;risk management;security strategy;compliance;security architecture;client engagement;security advisory"
Security Consultant,CyberAdvisory Solutions,Remote,"Advise organizations on cybersecurity strategies and solutions. Conduct security assessments and develop security roadmaps. Help clients improve their security posture.","security consulting;risk assessment;security strategy;compliance;security architecture;client consulting;security advisory;security planning"
